cod_barras,descricao, novo Codigo interno
7891342015653,FILTRO TECFIL ARL2340,undefined
7891342017152,FILTRO TECFIL ARL4161,undefined
7891342010351,FILTRO TECFIL ARL5138,undefined
7891342014618,FILTRO TECFIL ARL5141,undefined
7891342027984,FILTRO TECFIL ARL5144,undefined
7891342021791,FILTRO TECFIL PSL166,undefined
1003014,FUNIL P/BOMBONA 5L PADRAO INMETRO ,undefined
7891342512886,FILTRO TECFIL ARS7994,undefined
15251547,PARAFUSO SX ROSC 5/16X70,undefined
5011987095793,ADVANCE AX5 4T 20W 50 1L.,undefined
15422563,KIT STR TRI INV 25DV,undefined
152369856,CADERNO BROCHURA ,undefined
1547896,CADERNO DESENHO,undefined
015263625,LAPIS COR,undefined
152369851,LT MWM ADITIVO RAD ,undefined
7891342028332,FILTRO TECFIL ARL2203.,undefined
15146325987,CONSUMO. RODEL P CORTAR PISO,undefined
15263644,BASCULANTE ALUM,undefined
1236593,CAPA PROTETORA PRETA,undefined
7891342027755,FILTRO TECFIL PEL309 NOVO,undefined
7891342027991,FILTRO TECFIL ARL2338.,undefined
7891342028141,FILTRO TECFIL PEL727 NOVO,undefined
5011987035348,RIMULA R6 MS 10W40 20L (BALDE),undefined
2112325635,CONECTOR PLUG DE PASSAGEM,undefined
15487963366,BANNER SHELL,undefined
1895264,FRIGOBAR EOS ICE 71L,undefined
1895265,LUM LED HP UFO200 200W 6400K 3G CROWN,undefined
125463985,PERFIL U 6,50,undefined
15246398,CAIXA DE SOM,undefined
214526332,PA P/ TELHA,undefined
154866998,SIM CARD 4G,undefined
5011987121898,ADVANCE AX6 4T 10W 30-1L,undefined
15498632,VIPZON DIAMOND,undefined
7891342020091,FILTRO TECFIL PEL780,undefined
154263250000,VERNIZ ACRILICO,undefined
152636600000,TINTA HPLUS BR NEV,undefined
7891342028097,FILTRO TECFIL ARL2340 (NOVO),undefined
7891342028035,FILTRO TECFIL ARL2206 (NOVO),undefined
15485963,AREIA FINA,undefined
15263545,DESEMP MAD LOURO ,undefined
1425236,COMBOOG,undefined
5011987191532,ADVANCE AX5 4T 20W 50-1L XXX,undefined
5011987219793,ADVANCE AX7 4T 10W 30-1L XXX,undefined
5011987191259,ADVANCE SX 2T-500ML,undefined
5011987241954,HELIX HX3 AK 25W 60-1L,undefined
5011987241916,HELIX HX3 SL 20W 50-1L,undefined
5011987233348,HELIX HX5 SL 15W 40-1L,undefined
5011987242029,HELIX HX6 SL 15W 40-1L,undefined
5011987242098,HELIX HX7 SN 10W 40-1L,undefined
5011987242173,HELIX HX8 5W 30-1L,undefined
5011987213630,HELIX ULTRA EXTRA 5W 30-1L,undefined
5011987242142,HELIX ULTRA SN 5W 40-1L,undefined
5011987233317,RIMULA RT4 X SAE 15W 40-1L,undefined
5011987191563,SPIRAX S1 ATF TASA-1L,undefined
5011987191396,SPIRAX S2 A 90W-1L,undefined
7897483400013,FLUIDO P/FREIOS VARGA DOT3 200ML,undefined
7897483400051,FLUIDO P/FREIOS VARGA DOT4 500ML,undefined
7798151942609,FILTRO WEGA JFA 292/1,undefined
7891342002042,FILTRO TECFIL ARL4147,undefined
7891342002226,FILTRO TECFIL ARL4150,undefined
7891342002196,FILTRO TECFIL ARL6091,undefined
7891342002172,FILTRO TECFIL ARL8832,undefined
7891342005340,FILTRO TECFIL ARL8834,undefined
7891342504225,FILTRO TECFIL AP1008,undefined
7891342510370,FILTRO TECFIL AP7070,undefined
7891342510844,FILTRO TECFIL AR8113,undefined
7891342012188,FILTRO TECFIL ARL2203,undefined
7891342005708,FILTRO TECFIL ARL5050,undefined
7891342006217,FILTRO TECFIL ARL6096,undefined
7891342005791,FILTRO TECFIL ARL8825,undefined
7891342005524,FILTRO TECFIL ARL9608,undefined
7891342011761,FILTRO TECFIL ARL4152,undefined
7891342505055,FILTRO TECFIL ARS1013,undefined
7891342508308,FILTRO TECFIL ARS7065,undefined
7891455161063,FILTRO FRAM PH-2870B,undefined
7891455318818,FILTRO FRAM PH-4558,undefined
7891455329821,FILTRO FRAM PH-5803,undefined
7891455161117,FILTRO FRAM PH-8A,undefined
7891342011679,FILTRO TECFIL PSL615,undefined
7891342010993,FILTRO TECFIL ART6098,undefined
7891342008297,FILTRO TECFIL PEL108,undefined
7891342010269,FILTRO TECFIL PEL311,undefined
7891342012812,FILTRO TECFIL PEL803,undefined
7891342011884,FILTRO TECFIL PSL127,undefined
7891342010313,FILTRO TECFIL PSL129,undefined
7891342000505,FILTRO TECFIL PSL134,undefined
7891342000512,FILTRO TECFIL PSL135,undefined
7891342000666,FILTRO TECFIL PSL144,undefined
7891342000673,FILTRO TECFIL PSL145,undefined
7891342000680,FILTRO TECFIL PSL146,undefined
7891342005722,FILTRO TECFIL PSL152,undefined
7891342005326,FILTRO TECFIL PSL156,undefined
7891342010818,FILTRO TECFIL PSL158,undefined
7891342000574,FILTRO TECFIL PSL327,undefined
7891342010863,FILTRO TECFIL PSL332,undefined
7891342005395,FILTRO TECFIL PSL340,undefined
7891342000437,FILTRO TECFIL PSL45,undefined
7891342000123,FILTRO TECFIL PSL47,undefined
7891342005296,FILTRO TECFIL PSL55,undefined
7891342000581,FILTRO TECFIL PSL560,undefined
7891342000222,FILTRO TECFIL PSL562,undefined
7891342000178,FILTRO TECFIL PSL565,undefined
7891342000192,FILTRO TECFIL PSL619,undefined
1801008,PAP. TOALHA INTERF.C/2000 FLS 20X21,undefined
7891342000703,FILTRO TECFIL PSL620,undefined
7891342011709,FILTRO TECFIL PSL657,undefined
7891342001793,FILTRO TECFIL PSL714,undefined
7891342004947,FILTRO TECFIL PSL77,undefined
7891342005401,FILTRO TECFIL PSL78,undefined
7891342005364,FILTRO TECFIL PSL818,undefined
7798001694689,FILTRO WEGA JFO-213,undefined
7798159120399,FILTRO WEGA WOE680,undefined
7798001699189,FILTRO WEGA WOE700,undefined
7798151944641,FILTRO WEGA WOE903,undefined
5022650263067,FILTRO FRAM CH8776,undefined
7899162712011,BUJAO CARTER 14X14,undefined
7891799028275,BUJAO CARTER GOL/SANTANA,undefined
1003003,BUJAO CARTER CORSA,undefined
7894650101018,CERA GRAND PRIX 200G,undefined
7891799125806,GRAFITE EM PO WURTH 15G,undefined
7898307290896,KIT CAR MASTER TECBRIL,undefined
7898307290575,LIMPA PNEUS TECBRIL TECBLACK 500ML,undefined
7896189215051,LUB DESENGRIPANTE PROAUTO 321ML,undefined
7891799012922,ORING BORRACHA MITRIL 19X3,undefined
1003006,ORING PEUGEOT,undefined
7896189223025,SILICONE PROAUTO 100ML,undefined
78926665955312,AGUA DESMINERALIZADA SBR 1L,undefined
7896463107331,ATF AUT 100ML,undefined
7896463100172,AUT DIESEL FUEL TREATMENT 185ML,undefined
7896463100554,FUEL INJECTOR CLEANER AUT 210ML,undefined
7896463102886,INTAKE VALVE CLEANER AUT 210ML,undefined
7896463100127,LIMPA VIDROS AUT VISAO TOTAL 100ML,undefined
7896463100547,OCTANE BOOSTER AUT 210ML,undefined
7896463100196,AUT OIL TREATMENT NEWER CAR 433ML,undefined
7897068800047,POWER FLUSH CAR 80-400ML,undefined
7896463102923,TOTAL FLEX AUT 210ML,undefined
7896463101315,AUT X TUNING VEICULO 210ML,undefined
7897044800375,BOMBONA PLASTICA 5L PADRAO INMETRO,undefined
7896463107355,ADIT AUT STOP RUST GREEN 433ML,undefined
7896463100462,AUT STOP RUST RED 500ML,undefined
1801009,AGUA SANITARIA BRILUX 5LTS,undefined
5011987243927,HELIX ULTRA ECT 5W 30-1L,undefined
1801001,CP QUEIJO CATUPIRY-KG,undefined
1801002,CP TOMATE-KG,undefined
1801003,CP CEBOLA-KG,undefined
1801004,CP REQUEIJAO-KG,undefined
1801005,CP ALFACE,undefined
1801006,CP MANTEIGA-KG,undefined
0102001,GNV-GAS NATURAL VEICULAR,undefined
0701002,PACK CERV HEINEKEN LN C/6UN,undefined
0701008,PACK CERV SKOL LATA 269ML C/15UN,undefined
78989239440361,EXTINTOR ABC DESCART.COMPRIDO 1KG,undefined
1003007,EXTINTOR ABC DESCART.BOLA 1KG,undefined
2001001,PROMO PACK CERV SOL LN 330ML 6 UN,undefined
2001002,PROMO PACK HEINEKEN LN 355ML 6 UN,undefined
2001003,PROMO PACK STELLA ARTOIS 275ML 6UN,undefined
2001004,PROMO COCA COLA 2L COMPRE 2 LEVE 3,undefined
2001005,PROMO RED BULL 250ML 2UN,undefined
2001006,PROMO RED BULL+RED BULL RED 250ML,undefined
2001007,PROMO RED BULL+RED BULL BLUE 250ML,undefined
2001008,PROMO RED BULL+RED BULL SILVER250ML,undefined
2001009,PROMO RED BULL+RED BULL S.FREE250ML,undefined
2001010,PROMO RED BULL RED 250ML 2UN,undefined
2001011,PROMO RED BULL RED+BLUE 250ML,undefined
2001012,PROMO RED BULL RED+SILVER 250ML,undefined
2001013,PROMO RED BULL RED+SUGAR FREE 250ML,undefined
2001014,PROMO RED BULL BLUE 250ML 2UN,undefined
2001015,PROMO RED BULL BLUE+SILVER 250ML,undefined
2001016,PROMO RED BULL BLUE+SUGAR FREE250ML,undefined
2001017,PROMO RED BULL SILVER 250ML 2UN,undefined
2001018,PROMO RED BULL SILVER+SUG.FREE250ML,undefined
2001019,PROMO RED BULL SUGAR FREE 250ML 2UN,undefined
2001020,PROMO TRIDENT CANELA 8G 2UN,undefined
2001021,PROMO TRIDENT FRESH CEREJA 8G 2UN,undefined
2001022,PROMO TRIDENT FRESH HERBAL 8G 2UN,undefined
2001023,PROMO TRIDENT HORTELA 8G 2UN,undefined
2001025,PROMO TRIDENT MENTA 8G 2UN,undefined
2001026,PROMO TRIDENT MORANGO 8G 2UN,undefined
