cod_barras,descricao,codigo,Novo_codigo
7893590268027,BANANINHA FADUNI SEM AÇUCAR 30G,000000086     ,undefined
7891050000903 ,VODKA ORLOFF 1 L,000000087     ,undefined
7898681350964,PIRULITO NEON PE DE MONSTRO 9G,000000088     ,undefined
7897261800011,AÇUCAR CAETEA  CRISTAL 1KL,000000089     ,undefined
7896220900359,ARROZ ALTEZA CRISTAL1KL,000000090     ,undefined
7896224800716,CAFÉ SOLÚVEL REFIL SANTA CLARA 50 G,000000091     ,undefined
7896051114086,CREME DE LEITE ITAMBE 300 G,000000092     ,undefined
0040232941818,CARVAO COCO SUPREME 250G,000000093     ,undefined
7896024726827,WAFER PIRAQUE LIMAO 100G,000000094     ,undefined
3800034975483,AROMATIZANTE AREON MON INTERIOR,000000095     ,undefined
7896045504541,CERV L NECK AMSTEL LAGER 600ML,000000096     ,undefined
7898953990140,CERV L NECK ESTRELLA GALICIA PREMIUM 355 ML,000000097     ,undefined
7909843237822,HAVAIANAS COLOR ESSENTIAL PRETO 43/44,000000098     ,undefined
3800034962742,AROMATIZANTE AREON MON SPORTLUX,000000099     ,undefined
7891149040308,CERV L NECK BRAHMA MALZBIER 355ML,0000000100    ,undefined
78937963,CIG FREE KENT RED  KS,0000000101    ,undefined
7896222720030,PRESERVATIVO JONTEX LUBRIFICADO,0000000102    ,undefined
78943537,CIG CAMEL PREMIUM BLEND,0000000103    ,undefined
7899403636076,CHIP TIM + RECARGA,0000000104    ,undefined
7891152801828,BISC RICHESTER FLORESTA NEGRA 125G,0000000105    ,undefined
7892840821197,CHEETOS ONDA 45G,0000000106    ,undefined
7896024761408,BISC PIRAQUE RECHEADO SUPREME CHO/BRAN LIMAO 80G,0000000107    ,undefined
7896311710300,BARRA PROTEIN CRISP AVELA 45G,0000000108    ,undefined
7897900312578,TRIO BRIGADEIRO 25G,0000000109    ,undefined
7896005286524,MACARRÃO DONA BENTA SPAGHETTI 500G,0000000110    ,undefined
7896102502657,MOLHO DE TOMATE QUERO 520G,0000000111    ,undefined
7891107101621,OLEO SOJA SOYA PET 900ML,0000000112    ,undefined
7897844300723,PAPEL HIGIENICO ECONOBOM,0000000113    ,undefined
7891342020121,FILTRO TEC FIL PEC3050,0000000114    ,undefined
